hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9148605429,-0.0141900020,1.0011064387,0.9949770431,0.9938773788
2455153.9148968253,-0.0141768400,1.0011049296,0.9949575482,0.9938594035
2455153.9149331073,-0.0141636781,1.0011034206,0.9949380647,0.9938414396
2455153.9149693898,-0.0141505161,1.0011019116,0.9949185922,0.9938234866
2455153.9150056718,-0.0141373542,1.0011004026,0.9948991313,0.9938055451
2455153.9150419543,-0.0141241922,1.0010988936,0.9948796817,0.9937876149
2455153.9150782363,-0.0141110303,1.0010973846,0.9948602441,0.9937696966
2455153.9151145187,-0.0140978683,1.0010958755,0.9948408180,0.9937517898
2455153.9151508007,-0.0140847064,1.0010943665,0.9948214042,0.9937338951
2455153.9151870832,-0.0140715444,1.0010928575,0.9948020022,0.9937160122
2455153.9152233652,-0.0140583825,1.0010913485,0.9947826128,0.9936981418
2455153.9152596476,-0.0140452205,1.0010898395,0.9947632354,0.9936802835
2455153.9152959296,-0.0140320586,1.0010883305,0.9947438709,0.9936624378
2455153.9153322121,-0.0140188966,1.0010868214,0.9947245188,0.9936446046
2455153.9153684941,-0.0140057347,1.0010853124,0.9947051798,0.9936267843
2455153.9154047766,-0.0139925727,1.0010838034,0.9946858535,0.9936089767
2455153.9154410586,-0.0139794108,1.0010822944,0.9946665405,0.9935911823
2455153.9154773410,-0.0139662488,1.0010807854,0.9946472405,0.9935734009
2455153.9155136230,-0.0139530869,1.0010792764,0.9946279542,0.9935556331
2455153.9155499055,-0.0139399249,1.0010777673,0.9946086811,0.9935378784
2455153.9155861875,-0.0139267630,1.0010762583,0.9945894219,0.9935201376
2455153.9156224700,-0.0139136010,1.0010747493,0.9945701763,0.9935024103
2455153.9156587520,-0.0139004391,1.0010732403,0.9945509449,0.9934846971
2455153.9156950344,-0.0138872771,1.0010717313,0.9945317274,0.9934669977
2455153.9157313164,-0.0138741152,1.0010702223,0.9945125243,0.9934493127
2455153.9157675989,-0.0138609532,1.0010687132,0.9944933353,0.9934316417
2455153.9158038809,-0.0138477913,1.0010672042,0.9944741610,0.9934139854
2455153.9158401634,-0.0138346293,1.0010656952,0.9944550012,0.9933963435
2455153.9158764454,-0.0138214674,1.0010641862,0.9944358564,0.9933787165
2455153.9159127278,-0.0138083054,1.0010626772,0.9944167262,0.9933611041
2455153.9159490098,-0.0137951435,1.0010611682,0.9943976114,0.9933435069
2455153.9159852923,-0.0137819815,1.0010596591,0.9943785115,0.9933259246
2455153.9160215743,-0.0137688196,1.0010581501,0.9943594272,0.9933083578
2455153.9160578563,-0.0137556577,1.0010566411,0.9943403583,0.9932908064
2455153.9160941388,-0.0137424957,1.0010551321,0.9943213049,0.9932732703
2455153.9161304208,-0.0137293338,1.0010536231,0.9943022674,0.9932557502
2455153.9161667032,-0.0137161718,1.0010521141,0.9942832455,0.9932382456
2455153.9162029852,-0.0137030099,1.0010506051,0.9942642399,0.9932207572
2455153.9162392677,-0.0136898479,1.0010490960,0.9942452503,0.9932032846
2455153.9162755497,-0.0136766860,1.0010475870,0.9942262772,0.9931858286
