2455167.7798748  0.00506 0.00151
2455167.7803146  0.00934 0.00151
2455167.7807428  0.00661 0.00151
2455167.7811710  0.00279 0.00151
2455167.7816108  0.00352 0.00151
2455167.7820390  0.00724 0.00151
2455167.7825366  0.00689 0.00151
2455167.7829648  0.00530 0.00151
2455167.7834393 -0.00009 0.00151
2455167.7838675  0.00353 0.00151
2455167.7842957  0.00016 0.00151
2455167.7847355  0.00157 0.00151
2455167.7851637  0.00289 0.00151
2455167.7855919  0.00080 0.00151
2455167.7860317  0.00121 0.00153
2455167.7864599  0.00424 0.00153
2455167.7868881 -0.00169 0.00151
2455167.7873163  0.00614 0.00154
2455167.7877445  0.01319 0.00153
2455167.7881842 -0.00317 0.00153
2455167.7886124  0.00109 0.00151
2455167.7890638  0.01027 0.00151
2455167.7895036  0.00036 0.00154
2455167.7899318  0.00112 0.00154
2455167.7903831  0.00028 0.00153
2455167.7908229 -0.00104 0.00151
2455167.7912858 -0.00103 0.00153
2455167.7917140 -0.00210 0.00152
2455167.7921422 -0.00305 0.00151
2455167.7925820  0.00097 0.00151
2455167.7930102  0.00313 0.00151
2455167.7934731 -0.00024 0.00151
2455167.7939013  0.00289 0.00151
2455167.7943295 -0.00046 0.00151
2455167.7947577  0.00077 0.00151
2455167.7951859 -0.00098 0.00151
2455167.7956257 -0.00132 0.00151
2455167.7960539  0.00350 0.00151
2455167.7964821  0.00171 0.00151
2455167.7969103 -0.00221 0.00151
2455167.7973385 -0.00212 0.00151
2455167.7978014  0.00307 0.00151
2455167.7982296  0.00207 0.00151
2455167.7986810 -0.00004 0.00151
2455167.7991207 -0.00161 0.00151
2455167.7995837 -0.00174 0.00151
2455167.8000118  0.00076 0.00151
2455167.8004401  0.00118 0.00151
2455167.8008683  0.00209 0.00151
2455167.8012965  0.00671 0.00152
2455167.8017710  0.00155 0.00151
2455167.8021992 -0.00030 0.00151
2455167.8026274  0.00288 0.00151
2455167.8030671  0.00001 0.00152
2455167.8034953  0.00167 0.00151
2455167.8039583  0.00151 0.00151
2455167.8043864 -0.00062 0.00151
2455167.8048147  0.00148 0.00151
2455167.8052429  0.00116 0.00152
2455167.8056826  0.00397 0.00151
2455167.8061108  0.00295 0.00151
2455167.8065390  0.00288 0.00151
2455167.8069788 -0.00293 0.00151
2455167.8074301  0.00433 0.00151
2455167.8078584  0.00210 0.00151
2455167.8082866  0.00162 0.00151
2455167.8087148  0.00563 0.00151
2455167.8091661  0.00066 0.00151
2455167.8096174  0.00029 0.00151
2455167.8100456  0.00497 0.00151
2455167.8109021  0.00115 0.00151
2455167.8113302  0.00745 0.00151
2455167.8130894  0.01187 0.00151
2455167.8135407  0.00018 0.00151
2455167.8139689  0.00172 0.00152
2455167.8144202  0.00731 0.00151
2455167.8148484  0.00053 0.00152
2455167.8153114  0.00040 0.00151
2455167.8157396  0.00094 0.00151
2455167.8161793  0.00149 0.00151
2455167.8166191  0.00231 0.00152
2455167.8170473 -0.00125 0.00151
2455167.8174987  0.00091 0.00151
2455167.8179384  0.00080 0.00151
2455167.8183666 -0.00213 0.00152
2455167.8187948  0.00024 0.00152
2455167.8192230  0.00208 0.00151
2455167.8196512  0.00081 0.00152
2455167.8200794 -0.00046 0.00151
2455167.8205424 -0.00045 0.00151
2455167.8209706  0.00113 0.00152
2455167.8213988 -0.00273 0.00152
2455167.8218385  0.00091 0.00151
2455167.8222667  0.00104 0.00151
2455167.8226949  0.00147 0.00151
2455167.8231347  0.00103 0.00152
2455167.8235629  0.00325 0.00153
2455167.8240027 -0.00165 0.00151
2455167.8244425 -0.00118 0.00151
2455167.8248938  0.00139 0.00151
2455167.8253336  0.00121 0.00151
2455167.8257618  0.00116 0.00151
2455167.8262247 -0.00413 0.00151
2455167.8266529  0.00065 0.00151
2455167.8271043 -0.00301 0.00151
2455167.8275440  0.00101 0.00151
2455167.8279838 -0.00056 0.00152
2455167.8284120 -0.00306 0.00151
2455167.8288634 -0.00030 0.00151
2455167.8292916  0.00340 0.00152
2455167.8297429 -0.00060 0.00152
2455167.8301711 -0.00078 0.00151
2455167.8306224  0.00325 0.00151
2455167.8310506 -0.00054 0.00151
2455167.8315136  0.00047 0.00151
2455167.8319418  0.00881 0.00151
2455167.8323700 -0.00087 0.00151
2455167.8327982  0.00706 0.00151
2455167.8332264  0.00229 0.00151
2455167.8337009  0.00236 0.00152
2455167.8341291  0.00555 0.00154
2455167.8345688  0.00000 0.00151
2455167.8349970  0.00075 0.00152
2455167.8354368  0.00088 0.00151
2455167.8358766  0.00050 0.00152
2455167.8363048 -0.00309 0.00152
2455167.8367446 -0.00084 0.00153
2455167.8372075 -0.00396 0.00153
2455167.8376357 -0.00487 0.00152
2455167.8380755  0.00325 0.00151
2455167.8385268 -0.00095 0.00151
2455167.8389550  0.00313 0.00151
2455167.8394064  0.00472 0.00152
2455167.8398346 -0.00172 0.00152
2455167.8403206 -0.00229 0.00153
2455167.8407488 -0.00392 0.00152
2455167.8411770 -0.00109 0.00152
2455167.8416168 -0.00175 0.00152
2455167.8420450  0.00052 0.00151
2455167.8424732 -0.00266 0.00153
2455167.8429130 -0.00226 0.00153
