hjd,phase,rzmag,e_rzmag,relative_flux,relative_flux_error,baseline_flux,normalized_flux,normalized_flux_error,model_flux,model_normalized_flux,residual_flux
2455153.9769708002,0.0083414706,0.0142500000,0.0014800000,0.9869610187,0.0013453565,0.9985232080,0.9884207105,0.0013473463,0.9876058989,0.9890665444,-0.0006458339
2455153.9775148001,0.0085388151,0.0151600000,0.0014800000,0.9861341528,0.0013442294,0.9985005825,0.9876150001,0.0013462480,0.9876206603,0.9891037397,-0.0014887397
2455153.9780587000,0.0087361233,0.0128000000,0.0014800000,0.9882799851,0.0013471545,0.9984779611,0.9897864786,0.0013492080,0.9876372260,0.9891427397,0.0006437389
2455153.9786025998,0.0089334315,0.0129700000,0.0014800000,0.9881252565,0.0013469436,0.9984553398,0.9896539356,0.0013490273,0.9876557504,0.9891837031,0.0004702325
2455153.9791465998,0.0091307761,0.0113600000,0.0014800000,0.9895915996,0.0013489424,0.9984327142,0.9911450070,0.0013510599,0.9876764245,0.9892268257,0.0019181814
2455153.9797021002,0.0093322926,0.0126800000,0.0014800000,0.9883892199,0.0013473034,0.9984096104,0.9899636478,0.0013494495,0.9877000018,0.9892733319,0.0006903159
2455153.9802576001,0.0095338089,0.0133400000,0.0014800000,0.9877885780,0.0013464846,0.9983865066,0.9893849441,0.0013486607,0.9877264255,0.9893226911,0.0000622529
2455153.9808014999,0.0097311171,0.0120000000,0.0014800000,0.9890084450,0.0013481475,0.9983638852,0.9906292282,0.0013503568,0.9877556670,0.9893743971,0.0012548310
2455153.9813454999,0.0099284617,0.0124700000,0.0014800000,0.9885804098,0.0013475640,0.9983412597,0.9902229325,0.0013498030,0.9878011608,0.9894423888,0.0007805437
2455153.9818894002,0.0101257701,0.0134800000,0.0014800000,0.9876612160,0.0013463110,0.9983186383,0.9893246286,0.0013485785,0.9878766435,0.9895404189,-0.0002157903
2455153.9824333000,0.0103230783,0.0109800000,0.0014800000,0.9899380102,0.0013494146,0.9982960169,0.9916277271,0.0013517179,0.9879715701,0.9896579305,0.0019697967
2455153.9829773000,0.0105204228,0.0143500000,0.0014800000,0.9868701204,0.0013452326,0.9982733914,0.9885770060,0.0013475593,0.9880818730,0.9897908545,-0.0012138484
2455153.9835327999,0.0107219392,0.0109500000,0.0014800000,0.9899653636,0.0013494519,0.9982502876,0.9917005544,0.0013518171,0.9882082353,0.9899403462,0.0017602082
2455153.9840767002,0.0109192475,0.0103700000,0.0014800000,0.9904943441,0.0013501729,0.9982276662,0.9922529476,0.0013525701,0.9883440315,0.9900988171,0.0021541305
2455153.9846322001,0.0111207639,0.0126500000,0.0014800000,0.9884165304,0.0013473406,0.9982045624,0.9901943627,0.0013497640,0.9884940079,0.9902719795,-0.0000776169
2455153.9851762000,0.0113181084,0.0119900000,0.0014800000,0.9890175542,0.0013481599,0.9981819368,0.9908189256,0.0013506154,0.9886511132,0.9904518172,0.0003671084
2455153.9857200999,0.0115154166,0.0149600000,0.0014800000,0.9863158222,0.0013444771,0.9981593155,0.9881346664,0.0013469564,0.9888176259,0.9906410836,-0.0025064173
2455153.9862640002,0.0117127250,0.0109800000,0.0014800000,0.9899380102,0.0013494146,0.9981366941,0.9917860110,0.0013519336,0.9889929708,0.9908392074,0.0009468036
2455153.9868080001,0.0119100696,0.0104900000,0.0014800000,0.9903848767,0.0013500237,0.9981140686,0.9922562039,0.0013525746,0.9891766320,0.9910456762,0.0012105277
2455153.9873635001,0.0121115859,0.0112200000,0.0014800000,0.9897192104,0.0013491163,0.9980909647,0.9916122332,0.0013516968,0.9893721915,0.9912645504,0.0003476827
2455153.9879073999,0.0123088941,0.0117600000,0.0014800000,0.9892270877,0.0013484455,0.9980683434,0.9911416330,0.0013510553,0.9895710180,0.9914862290,-0.0003445960
2455153.9884513002,0.0125062025,0.0098300000,0.0014800000,0.9909870973,0.0013508446,0.9980457220,0.9929275538,0.0013534897,0.9897766440,0.9917147303,0.0012128235
2455153.9889953001,0.0127035470,0.0109300000,0.0014800000,0.9899835996,0.0013494767,0.9980230965,0.9919445784,0.0013521498,0.9899886492,0.9919496379,-0.0000050596
2455153.9895392000,0.0129008552,0.0161700000,0.0014800000,0.9852172336,0.0013429795,0.9980004751,0.9871911469,0.0013456702,0.9902065029,0.9921904123,-0.0049992654
2455153.9900831999,0.0130981998,0.0106400000,0.0014800000,0.9902480594,0.0013498372,0.9979778496,0.9922545474,0.0013525723,0.9904298358,0.9924366921,-0.0001821447
2455153.9906386998,0.0132997161,0.0076000000,0.0014800000,0.9930245833,0.0013536220,0.9979547458,0.9950597334,0.0013563961,0.9906630368,0.9926933471,0.0023663864
2455153.9911941998,0.0135012324,0.0117000000,0.0014800000,0.9892817559,0.0013485200,0.9979316419,0.9913321858,0.0013513150,0.9909009619,0.9929547479,-0.0016225620
2455153.9917381001,0.0136985408,0.0113200000,0.0014800000,0.9896280581,0.0013489921,0.9979090205,0.9917016860,0.0013518187,0.9911380309,0.9932148227,-0.0015131367
2455153.9922821000,0.0138958854,0.0086900000,0.0014800000,0.9920281592,0.0013522637,0.9978863950,0.9941293560,0.0013551279,0.9913787507,0.9934785720,0.0006507840
2455153.9928259999,0.0140931936,0.0130400000,0.0014800000,0.9880615517,0.0013468567,0.9978637737,0.9901767935,0.0013497401,0.9916225676,0.9937454328,-0.0035686393
2455153.9933814998,0.0142947099,0.0082400000,0.0014800000,0.9924394057,0.0013528243,0.9978406698,0.9945870475,0.0013557518,0.9918743349,0.9940207539,0.0005662937
2455153.9939254001,0.0144920183,0.0081600000,0.0014800000,0.9925125340,0.0013529240,0.9978180484,0.9946828839,0.0013558825,0.9921230471,0.9942925453,0.0003903386
2455153.9944694000,0.0146893628,0.0106900000,0.0014800000,0.9902024579,0.0013497750,0.9977954229,0.9923902587,0.0013527573,0.9923734888,0.9945660864,-0.0021758277
2455153.9950132999,0.0148866711,0.0128300000,0.0014800000,0.9882526783,0.0013471172,0.9977728016,0.9904586262,0.0013501242,0.9926250643,0.9948407721,-0.0043821459
